Timepoint,Outcome_Mean,Outcome_SD,Outcome_Min,Outcome_Max,Treatment1_Mean,Treatment1_SD,Treatment1_Min,Treatment1_Max,Treatment2_Mean,Treatment2_SD,Treatment2_Min,Treatment2_Max
0,10.320113,0.98632,1.5593944,12.502016,0.72393733,0.060245745,0.16173422,0.8372592,0.74355066,0.057818092,0.17184034,0.85062194
1,10.308564,0.9896659,1.559331,12.549515,0.723618,0.060047735,0.16173293,0.8375605,0.7432576,0.057629246,0.17183898,0.8509374
2,10.298653,0.98979956,1.6586838,12.55335,0.7233019,0.06004535,0.163084,0.83753484,0.74296516,0.05762841,0.17325704,0.850879
3,10.288843,1.0176117,1.6700772,12.58968,0.7229826,0.06023806,0.16388,0.83835894,0.7426585,0.057816382,0.17409235,0.8516474
4,10.284119,1.021781,1.7340384,12.587201,0.72238034,0.061083622,0.16568269,0.83922285,0.7420766,0.05865099,0.17598373,0.85245275
5,10.281777,1.020015,2.2797794,12.644687,0.7219405,0.061902836,0.17848615,0.84097344,0.74164456,0.05947889,0.19149956,0.8540844
6,10.276379,1.0374752,2.188771,12.700826,0.7215639,0.06303808,0.19268087,0.8424471,0.7412704,0.06065613,0.20646909,0.85545737
7,10.273296,1.0395173,2.167171,12.693012,0.72130656,0.063501626,0.19185616,0.843473,0.7410205,0.061126642,0.20446289,0.856413
8,10.271196,1.0375512,2.1345909,12.749768,0.72110134,0.06393285,0.18913959,0.84507596,0.74082017,0.061574537,0.20183966,0.8579058
9,10.270678,1.0420487,2.0938122,12.756763,0.7209249,0.06445238,0.18700978,0.84590334,0.7406443,0.06212163,0.19960205,0.8586761
10,10.265274,1.0503892,2.121774,12.759992,0.7207478,0.06466463,0.18624702,0.8455803,0.7404711,0.062336985,0.19880049,0.858431
11,10.261702,1.0564446,2.053739,12.765414,0.72055835,0.06496475,0.1849611,0.8465256,0.7402865,0.062647305,0.19744892,0.85931075
12,10.261798,1.0626186,1.7530298,12.813759,0.7203963,0.065479524,0.18312605,0.847063,0.7401264,0.063183084,0.1955197,0.8598108
13,10.259344,1.0654182,1.6915803,12.761806,0.720213,0.06601514,0.18066104,0.8469141,0.7399444,0.06374472,0.19292726,0.859617
14,10.260647,1.0556009,1.7818725,12.750626,0.72014135,0.06613966,0.18138883,0.84771806,0.73987544,0.0638722,0.19395195,0.8603653
15,10.260932,1.0580964,1.6619973,12.681327,0.72012913,0.066101424,0.16784789,0.8471916,0.7398632,0.06382883,0.179679,0.85987526
16,10.261318,1.0555786,1.6833869,12.591067,0.7201272,0.06598799,0.16711959,0.84501684,0.7398618,0.06371031,0.17891042,0.85785073
17,10.2588005,1.0555322,1.6971556,12.651615,0.72012824,0.065836474,0.16717781,0.84393144,0.739864,0.06355922,0.17897186,0.85684
18,10.255165,1.0639267,1.5995307,12.6355295,0.7200474,0.06591963,0.16517697,0.8427911,0.7397852,0.06365134,0.17679912,0.85577786
